"hgnc_symbol","transcript_biotype"
"LGALS8-AS1","lncRNA"
"LGR5","protein_coding"
"LGR5","retained_intron"
"LINC00616","lncRNA"
"LINC00638","lncRNA"
"LRRC1","nonsense_mediated_decay"
"LRRC1","protein_coding"
"LRRC1","retained_intron"
"LRRC45","protein_coding"
"LRRC45","processed_transcript"
"LRRC45","retained_intron"
"LRRC45","nonsense_mediated_decay"
"LRRC66","protein_coding"
"LUZP1","protein_coding"
"LZTS2","protein_coding"
"LZTS2","retained_intron"
"MAGED1","protein_coding"
"MAGED1","processed_transcript"
"MAGEE1","protein_coding"
"MAP4K4","protein_coding"
"MAP4K4","processed_transcript"
"MAP4K4","retained_intron"
"MAPK13","processed_transcript"
"MAPK13","protein_coding"
"MAPK3","protein_coding"
"MAPK3","nonsense_mediated_decay"
"MAPK3","retained_intron"
"MAPK3","processed_transcript"
"MEG3","lncRNA"
"MIER2","protein_coding"
"MIER2","nonsense_mediated_decay"
"MIER2","retained_intron"
"MIER2","processed_transcript"
"MIR3125","miRNA"
"MLNR","protein_coding"
"MTR","retained_intron"
"MTR","protein_coding"
"MTR","nonsense_mediated_decay"
"MTR","processed_transcript"
"MVB12B","protein_coding"
"MVB12B","processed_transcript"
"MVB12B","retained_intron"
"NAGPA","protein_coding"
"NAGPA","retained_intron"
"NAGPA","nonsense_mediated_decay"
"NAGPA","processed_transcript"
"NDN","protein_coding"
"NKD1","processed_transcript"
"NKD1","protein_coding"
"NKD1","retained_intron"
"NKPD1","protein_coding"
"NOTUM","protein_coding"
"NOTUM","retained_intron"
"NRCAM","processed_transcript"
"NRCAM","protein_coding"
"NRCAM","retained_intron"
"NRXN3","protein_coding"
"NRXN3","retained_intron"
"NRXN3","processed_transcript"
"NYNRIN","protein_coding"
"NYNRIN","processed_transcript"
"OSBP2","protein_coding"
"OSBP2","processed_transcript"
"OSBPL7","protein_coding"
"OSBPL7","retained_intron"
"OSBPL7","nonsense_mediated_decay"
"OTUB2","protein_coding"
"PAQR7","protein_coding"
"PARD3B","nonsense_mediated_decay"
"PARD3B","protein_coding"
"PARD3B","processed_transcript"
"PARVB","protein_coding"
"PARVB","processed_transcript"
"PGBD1","protein_coding"
"PHYHIPL","protein_coding"
"PHYHIPL","nonsense_mediated_decay"
"PHYHIPL","processed_transcript"
"PIGZ","protein_coding"
"PIGZ","retained_intron"
"PLAG1","protein_coding"
"PLAG1","retained_intron"
"PLAG1","processed_transcript"
"PLCG1","protein_coding"
"PLCG1","retained_intron"
"PLCG1","processed_transcript"
"PLCG1","nonsense_mediated_decay"
"PLXNC1","protein_coding"
"PLXNC1","retained_intron"
"PLXNC1","nonsense_mediated_decay"
"PLXNC1","processed_transcript"
"PPOX","protein_coding"
"PPOX","retained_intron"
"PPOX","nonsense_mediated_decay"
"PPT2","protein_coding"
"PPT2","processed_transcript"
"PPT2","retained_intron"
"PPT2","nonsense_mediated_decay"
"PRDM16","protein_coding"
"PRDM16","retained_intron"
"PRDM16","processed_transcript"
"PRKAA2","protein_coding"
"PRORSD1P","processed_transcript"
"PRORSD1P","transcribed_unitary_pseudogene"
"PRR12","protein_coding"
"PRR12","retained_intron"
"PRR15L","protein_coding"
"PRRT1","processed_transcript"
"PRRT1","retained_intron"
"PRRT1","protein_coding"
"PVT1","lncRNA"
"RAMP2-AS1","lncRNA"
"RAPGEFL1","protein_coding"
"RAPGEFL1","retained_intron"
"RASAL2-AS1","lncRNA"
"RBP7","nonsense_mediated_decay"
"RBP7","protein_coding"
"RGS12","retained_intron"
"RGS12","protein_coding"
"RGS12","nonsense_mediated_decay"
"RGS12","processed_transcript"
"RHBDL3","nonsense_mediated_decay"
"RHBDL3","protein_coding"
"RHBDL3","retained_intron"
"RHBG","protein_coding"
"RHBG","retained_intron"
"RHBG","nonsense_mediated_decay"
"RHBG","processed_transcript"
"RHOBTB1","protein_coding"
"RHOBTB1","processed_transcript"
"RHOBTB2","protein_coding"
"RHOBTB2","processed_transcript"
"RHOBTB2","retained_intron"
"RNF157","protein_coding"
"RNF157","processed_transcript"
"RNF157","retained_intron"
"RNF43","protein_coding"
"RNF43","retained_intron"
"RNF43","processed_transcript"
"RP1L1","protein_coding"
"RP1L1","processed_transcript"
"RUSC1","protein_coding"
"RUSC1","retained_intron"
"RUSC1","nonsense_mediated_decay"
"SALL2","protein_coding"
"SCN4A","protein_coding"
"SCN4A","retained_intron"
"SEMA3G","protein_coding"
"SEMA3G","nonsense_mediated_decay"
"SEMA7A","protein_coding"
"SEMA7A","retained_intron"
"SH2B1","protein_coding"
"SH2B1","processed_transcript"
"SH2B1","retained_intron"
"SHROOM4","protein_coding"
"SHROOM4","processed_transcript"
"SLC22A11","protein_coding"
"SLC22A11","processed_transcript"
"SLC22A11","retained_intron"
"SLC22A11","nonsense_mediated_decay"
"SLC25A35","protein_coding"
"SLC25A35","processed_transcript"
"SLC25A35","nonsense_mediated_decay"
"SLC25A36","protein_coding"
"SLC25A36","nonsense_mediated_decay"
"SLC25A36","retained_intron"
"SLC25A36","processed_transcript"
"SLC26A11","protein_coding"
"SLC26A11","retained_intron"
"SLC26A11","processed_transcript"
"SLC26A2","protein_coding"
"SLC26A6","protein_coding"
"SLC26A6","retained_intron"
"SLC26A6","nonsense_mediated_decay"
"SLC26A6","processed_transcript"
"SLC29A4","protein_coding"
"SLC29A4","processed_transcript"
"SLC2A4","protein_coding"
"SLC2A4","nonsense_mediated_decay"
"SLC6A9","protein_coding"
"SLC6A9","processed_transcript"
"SLC6A9","retained_intron"
"SLC7A6","protein_coding"
"SLC7A6","nonsense_mediated_decay"
"SLC7A6","retained_intron"
"SLX4","protein_coding"
"SLX4","retained_intron"
"SMPX","protein_coding"
"SMPX","nonsense_mediated_decay"
"SMYD2","processed_transcript"
"SMYD2","retained_intron"
"SMYD2","protein_coding"
"SNORD112","snoRNA"
"SNORD114-10","snoRNA"
"SNORD114-14","snoRNA"
"SNTG1","protein_coding"
"SNTG1","processed_transcript"
"SNTG1","nonsense_mediated_decay"
"SOGA1","protein_coding"
"SOGA1","nonsense_mediated_decay"
"SOGA1","retained_intron"
"SOX13","processed_transcript"
"SOX13","protein_coding"
"SOX13","nonsense_mediated_decay"
"SOX13","retained_intron"
"SP5","protein_coding"
"SP5","processed_transcript"
"SPAG8","retained_intron"
"SPAG8","processed_transcript"
"SPAG8","protein_coding"
"SPAG8","nonsense_mediated_decay"
"SQLE","protein_coding"
"SQLE","retained_intron"
"SRC","processed_transcript"
"SRC","protein_coding"
"SRC","retained_intron"
"STK33","processed_transcript"
"STK33","retained_intron"
"STK33","protein_coding"
"STK36","protein_coding"
"STK36","retained_intron"
"STK36","nonsense_mediated_decay"
"STOX1","protein_coding"
"STXBP6","protein_coding"
"STXBP6","nonsense_mediated_decay"
"TACC1","protein_coding"
"TACC1","processed_transcript"
"TACC1","retained_intron"
"TAF6","protein_coding"
"TAF6","nonsense_mediated_decay"
"TAF6","retained_intron"
"TAF6","processed_transcript"
"TBC1D13","protein_coding"
"TBC1D13","processed_transcript"
"TBX2","protein_coding"
"TBX2","nonsense_mediated_decay"
"TBX2","retained_intron"
"TBX2","processed_transcript"
"TBX3","protein_coding"
"TBX3","retained_intron"
"TCF7","protein_coding"
"TCF7","retained_intron"
"TCF7","nonsense_mediated_decay"
"TCF7","processed_transcript"
"TEKT3","processed_transcript"
"TEKT3","retained_intron"
"TEKT3","protein_coding"
"TEKT3","nonsense_mediated_decay"
"TEX22","nonsense_mediated_decay"
"TEX22","protein_coding"
"TEX38","protein_coding"
"TMEM51-AS1","lncRNA"
"TMEM88B","protein_coding"
"TMEM98","protein_coding"
"TMEM98","retained_intron"
"TNFRSF19","protein_coding"
"TNFRSF19","processed_transcript"
"TRIB2","protein_coding"
"TRIB2","processed_transcript"
"TRIM65","protein_coding"
"TRIM65","processed_transcript"
"TRIM65","retained_intron"
"TRPC1","protein_coding"
"TRPC1","nonsense_mediated_decay"
"TRPC1","retained_intron"
"TSPAN5","nonsense_mediated_decay"
"TSPAN5","protein_coding"
"TSPAN5","retained_intron"
"TSPAN5","processed_transcript"
"TSPYL4","protein_coding"
"TTLL1","nonsense_mediated_decay"
"TTLL1","protein_coding"
"UGGT1","nonsense_mediated_decay"
"UGGT1","protein_coding"
"UGGT1","retained_intron"
"UGGT1","processed_transcript"
"USP46","protein_coding"
"USP46","nonsense_mediated_decay"
"USP46","retained_intron"
"USP46","processed_transcript"
"VPS33A","protein_coding"
"VPS33A","nonsense_mediated_decay"
"VPS33A","retained_intron"
"WFS1","protein_coding"
"WFS1","retained_intron"
"WSCD1","processed_transcript"
"WSCD1","protein_coding"
"WSCD1","nonsense_mediated_decay"
"WTIP","protein_coding"
"XYLT2","protein_coding"
"XYLT2","nonsense_mediated_decay"
"XYLT2","retained_intron"
"ZBTB40","protein_coding"
"ZBTB46","protein_coding"
"ZBTB46","nonsense_mediated_decay"
"ZBTB46","processed_transcript"
"ZMYM3","protein_coding"
"ZMYM3","processed_transcript"
"ZNF14","protein_coding"
"ZNF286A","retained_intron"
"ZNF286A","protein_coding"
"ZNF286A","processed_transcript"
"ZNF503","protein_coding"
"ZNF607","protein_coding"
"ZNF607","nonsense_mediated_decay"
"ZNF610","protein_coding"
"ZNF610","retained_intron"
"ZNF646","protein_coding"
"ZNF703","protein_coding"
"ZNF704","protein_coding"
"ZNF704","processed_transcript"
"ZNF710","protein_coding"
"ZNF710","processed_transcript"
"ZNF775","protein_coding"
"ZNF781","protein_coding"
"ZNF781","processed_transcript"
"ZNRF3","protein_coding"
"ZSWIM5","protein_coding"
"ZSWIM5","processed_transcript"
